u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
-4.7359781307,3.3283454778,11.0975157925,0.0432088858,0.3742406346,0.4824834052,0.2913816243,0.3880449500,0.7199149604,-0.2450111953,-0.0283886690,-9138.3309206576
-4.7985299074,3.3822060296,11.1648750895,0.0422207885,0.3738700689,0.4822354766,0.2941451909,0.3902342672,0.7260732539,-0.2541691841,-0.0294047830,-9138.2052669487
-4.8612357971,3.4364908279,11.2318786217,0.0412349015,0.3734916431,0.4819887497,0.2969144742,0.3924049510,0.7322398609,-0.2635860343,-0.0304422914,-9138.0786353883
-4.9240894049,3.4911990671,11.2985270735,0.0402512566,0.3731053908,0.4817432179,0.2996893865,0.3945568930,0.7384147138,-0.2732665242,-0.0315010317,-9137.9510259764
-4.9870843299,3.5463299260,11.3648211914,0.0392698859,0.3727113461,0.4814988742,0.3024698378,0.3966899860,0.7445977430,-0.2832154619,-0.0325808107,-9137.8224387128
-5.0502141661,3.6018825673,11.4307617831,0.0382908210,0.3723095432,0.4812557115,0.3052557368,0.3988041239,0.7507888761,-0.2934376842,-0.0336814037,-9137.6928735975
-5.1134725029,3.6578561380,11.4963497179,0.0373140933,0.3719000168,0.4810137224,0.3080469898,0.4008992017,0.7569880383,-0.3039380561,-0.0348025542,-9137.5623306305
-5.1768529260,3.7142497694,11.5615859262,0.0363397340,0.3714828018,0.4807728994,0.3108435014,0.4029751155,0.7631951523,-0.3147214695,-0.0359439723,-9137.4308098118
-5.2403490179,3.7710625767,11.6264713990,0.0353677744,0.3710579333,0.4805332347,0.3136451742,0.4050317627,0.7694101382,-0.3257928424,-0.0371053345,-9137.2983111413
-5.3039543588,3.8282936599,11.6910071878,0.0343982451,0.3706254469,0.4802947203,0.3164519089,0.4070690418,0.7756329137,-0.3371571181,-0.0382862826,-9137.1648346190
-5.3676625273,3.8859421031,11.7551944046,0.0334311769,0.3701853782,0.4800573481,0.3192636042,0.4090868526,0.7818633940,-0.3488192644,-0.0394864228,-9137.0303802448
-5.4314671007,3.9440069746,11.8190342209,0.0324666003,0.3697377634,0.4798211099,0.3220801568,0.4110850959,0.7881014917,-0.3607842722,-0.0407053253,-9136.8949480187
-5.4953616562,4.0024873275,11.8825278678,0.0315045455,0.3692826388,0.4795859969,0.3249014618,0.4130636742,0.7943471169,-0.3730571551,-0.0419425233,-9136.7585379407
-5.5593397715,4.0613821990,11.9456766357,0.0305450425,0.3688200409,0.4793520006,0.3277274118,0.4150224908,0.8006001774,-0.3856429479,-0.0431975121,-9136.6211500106
